Match Number,Round Number,Date,Location,Home Team,Away Team,Result
177,20,11/02/2026 17:45,De Adelaarshorst,Go Ahead Eagles,sc Heerenveen,1 - 3
186,21,30/01/2026 19:00,Rat Verlegh Stadion,NAC Breda,FC Twente,2 - 2
185,21,31/01/2026 15:30,AFAS Stadion,AZ,N.E.C. Nijmegen,1 - 3
187,21,31/01/2026 17:45,MAC³PARK Stadion,PEC Zwolle,Telstar,4 - 1
183,21,31/01/2026 20:00,Sparta Stadion Het Kasteel,Sparta Rotterdam,FC Groningen,2 - 0
184,21,01/02/2026 11:15,Van Donge & De Roo Stadion,Excelsior Rotterdam,Ajax,2 - 2
181,21,01/02/2026 13:30,Asito Stadion,Heracles Almelo,Fortuna Sittard,2 - 1
189,21,01/02/2026 13:30,Philips Stadion,PSV,Feyenoord,3 - 0
182,21,01/02/2026 15:45,Abe Lenstra Stadion,sc Heerenveen,FC Utrecht,1 - 1
188,21,01/02/2026 19:00,Kras Stadion,FC Volendam,Go Ahead Eagles,1 - 1
198,22,06/02/2026 19:00,Rat Verlegh Stadion,NAC Breda,Excelsior Rotterdam,0 - 2
196,22,07/02/2026 15:30,Goffertstadion,N.E.C. Nijmegen,Heracles Almelo,4 - 1
194,22,07/02/2026 17:45,MAC³PARK Stadion,PEC Zwolle,FC Volendam,1 - 2
190,22,07/02/2026 19:00,De Grolsch Veste,FC Twente,sc Heerenveen,5 - 0
197,22,07/02/2026 20:00,Fortuna Sittard Stadion,Fortuna Sittard,Sparta Rotterdam,2 - 2
193,22,08/02/2026 11:15,Stadion Galgenwaard,FC Utrecht,Feyenoord,0 - 1
191,22,08/02/2026 13:30,De Adelaarshorst,Go Ahead Eagles,Telstar,1 - 1
192,22,08/02/2026 13:30,AFAS Stadion,AZ,Ajax,1 - 1
195,22,08/02/2026 15:45,Euroborg,FC Groningen,PSV,1 - 2
205,23,13/02/2026 19:00,Kras Stadion,FC Volendam,PSV,2 - 1
202,23,14/02/2026 15:30,Asito Stadion,Heracles Almelo,NAC Breda,0 - 1
204,23,14/02/2026 17:45,Van Donge & De Roo Stadion,Excelsior Rotterdam,AZ,1 - 2
199,23,14/02/2026 19:00,Johan Cruyff Arena,Ajax,Fortuna Sittard,4 - 1
203,23,14/02/2026 20:00,Euroborg,FC Groningen,FC Utrecht,1 - 2
206,23,15/02/2026 11:15,De Kuip,Feyenoord,Go Ahead Eagles,1 - 0
201,23,15/02/2026 13:30,Sportpark Schoonenberg,Telstar,FC Twente,1 - 1
207,23,15/02/2026 13:30,Abe Lenstra Stadion,sc Heerenveen,PEC Zwolle,4 - 2
200,23,17/02/2026 19:00,Sparta Stadion Het Kasteel,Sparta Rotterdam,N.E.C. Nijmegen,1 - 1
210,24,20/02/2026 19:00,Fortuna Sittard Stadion,Fortuna Sittard,Excelsior Rotterdam,2 - 1
216,24,21/02/2026 17:45,Philips Stadion,PSV,sc Heerenveen,3 - 1
214,24,21/02/2026 19:00,Rat Verlegh Stadion,NAC Breda,FC Volendam,1 - 0
212,24,21/02/2026 20:00,Johan Cruyff Arena,Ajax,N.E.C. Nijmegen,1 - 1
208,24,22/02/2026 11:15,De Grolsch Veste,FC Twente,FC Groningen,2 - 1
213,24,22/02/2026 13:30,De Adelaarshorst,Go Ahead Eagles,Heracles Almelo,4 - 0
215,24,22/02/2026 13:30,Stadion Galgenwaard,FC Utrecht,PEC Zwolle,1 - 1
211,24,22/02/2026 15:45,AFAS Stadion,AZ,Sparta Rotterdam,3 - 1
209,24,22/02/2026 19:00,De Kuip,Feyenoord,Telstar,2 - 1
221,25,27/02/2026 19:00,Sportpark Schoonenberg,Telstar,NAC Breda,3 - 0
222,25,28/02/2026 15:30,Abe Lenstra Stadion,sc Heerenveen,Sparta Rotterdam,2 - 1
217,25,28/02/2026 17:45,Asito Stadion,Heracles Almelo,PSV,1 - 3
220,25,28/02/2026 20:00,Goffertstadion,N.E.C. Nijmegen,Fortuna Sittard,2 - 3
219,25,01/03/2026 11:15,MAC³PARK Stadion,PEC Zwolle,Ajax,0 - 0
224,25,01/03/2026 13:30,Kras Stadion,FC Volendam,FC Groningen,3 - 2
225,25,01/03/2026 13:30,De Grolsch Veste,FC Twente,Feyenoord,2 - 0
218,25,01/03/2026 15:45,Stadion Galgenwaard,FC Utrecht,AZ,2 - 0
223,25,01/03/2026 19:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,Go Ahead Eagles,0 - 1
232,26,06/03/2026 19:00,Asito Stadion,Heracles Almelo,FC Utrecht,0 - 0
228,26,07/03/2026 15:30,Euroborg,FC Groningen,Ajax,3 - 1
233,26,07/03/2026 19:00,Philips Stadion,PSV,AZ,2 - 1
230,26,07/03/2026 20:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,sc Heerenveen,1 - 2
229,26,08/03/2026 11:15,Sparta Stadion Het Kasteel,Sparta Rotterdam,PEC Zwolle,1 - 1
227,26,08/03/2026 13:30,De Adelaarshorst,Go Ahead Eagles,FC Twente,1 - 4
234,26,08/03/2026 13:30,Fortuna Sittard Stadion,Fortuna Sittard,Telstar,1 - 4
231,26,08/03/2026 15:45,Rat Verlegh Stadion,NAC Breda,Feyenoord,3 - 3
226,26,08/03/2026 19:00,Goffertstadion,N.E.C. Nijmegen,FC Volendam,3 - 0
242,27,13/03/2026 19:00,MAC³PARK Stadion,PEC Zwolle,FC Groningen,1 - 1
237,27,14/03/2026 15:30,Kras Stadion,FC Volendam,Fortuna Sittard,1 - 2
241,27,14/03/2026 17:45,Philips Stadion,PSV,N.E.C. Nijmegen,2 - 3
243,27,14/03/2026 19:00,Abe Lenstra Stadion,sc Heerenveen,Telstar,3 - 0
238,27,14/03/2026 20:00,Johan Cruyff Arena,Ajax,Sparta Rotterdam,4 - 0
239,27,15/03/2026 11:15,De Grolsch Veste,FC Twente,FC Utrecht,0 - 2
235,27,15/03/2026 13:30,AFAS Stadion,AZ,Heracles Almelo,4 - 0
236,27,15/03/2026 13:30,De Kuip,Feyenoord,Excelsior Rotterdam,2 - 1
240,27,15/03/2026 15:45,De Adelaarshorst,Go Ahead Eagles,NAC Breda,6 - 0
244,28,20/03/2026 19:00,Asito Stadion,Heracles Almelo,Excelsior Rotterdam,1 - 1
249,28,21/03/2026 15:30,Fortuna Sittard Stadion,Fortuna Sittard,FC Twente,1 - 2
250,28,21/03/2026 17:45,Sparta Stadion Het Kasteel,Sparta Rotterdam,FC Volendam,2 - 0
245,28,21/03/2026 20:00,MAC³PARK Stadion,PEC Zwolle,NAC Breda,2 - 1
251,28,22/03/2026 11:15,Goffertstadion,N.E.C. Nijmegen,sc Heerenveen,2 - 2
247,28,22/03/2026 13:30,Stadion Galgenwaard,FC Utrecht,Go Ahead Eagles,2 - 0
248,28,22/03/2026 13:30,De Kuip,Feyenoord,Ajax,1 - 1
246,28,22/03/2026 15:45,Euroborg,FC Groningen,AZ,3 - 0
252,28,22/03/2026 15:45,Sportpark Schoonenberg,Telstar,PSV,3 - 1
255,29,04/04/2026 15:30,Philips Stadion,PSV,FC Utrecht,4 - 3
258,29,04/04/2026 17:45,Sportpark Schoonenberg,Telstar,FC Groningen,0 - 2
253,29,04/04/2026 18:00,AFAS Stadion,AZ,Fortuna Sittard,2 - 0
256,29,04/04/2026 20:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,N.E.C. Nijmegen,0 - 2
261,29,04/04/2026 20:00,Johan Cruyff Arena,Ajax,FC Twente,1 - 2
259,29,05/04/2026 11:15,De Adelaarshorst,Go Ahead Eagles,PEC Zwolle,5 - 0
254,29,05/04/2026 13:30,Abe Lenstra Stadion,sc Heerenveen,Heracles Almelo,4 - 1
257,29,05/04/2026 13:30,Kras Stadion,FC Volendam,Feyenoord,0 - 0
260,29,05/04/2026 15:45,Rat Verlegh Stadion,NAC Breda,Sparta Rotterdam,0 - 0
270,30,10/04/2026 19:00,De Grolsch Veste,FC Twente,FC Volendam,2 - 1
265,30,11/04/2026 15:30,Stadion Galgenwaard,FC Utrecht,Telstar,4 - 1
263,30,11/04/2026 17:45,Sparta Stadion Het Kasteel,Sparta Rotterdam,PSV,0 - 2
264,30,11/04/2026 19:00,Euroborg,FC Groningen,Go Ahead Eagles,0 - 0
262,30,11/04/2026 20:00,Asito Stadion,Heracles Almelo,Ajax,0 - 3
267,30,12/04/2026 11:15,Fortuna Sittard Stadion,Fortuna Sittard,NAC Breda,1 - 1
266,30,12/04/2026 13:30,MAC³PARK Stadion,PEC Zwolle,Excelsior Rotterdam,2 - 2
268,30,12/04/2026 13:30,Goffertstadion,N.E.C. Nijmegen,Feyenoord,1 - 1
269,30,12/04/2026 15:45,AFAS Stadion,AZ,sc Heerenveen,3 - 0
279,31,22/04/2026 19:00,Sportpark Schoonenberg,Telstar,Sparta Rotterdam,4 - 1
271,31,23/04/2026 17:45,De Adelaarshorst,Go Ahead Eagles,AZ,0 - 0
277,31,23/04/2026 20:00,Philips Stadion,PSV,PEC Zwolle,6 - 1
272,31,25/04/2026 15:30,De Kuip,Feyenoord,FC Groningen,3 - 1
276,31,25/04/2026 17:45,Abe Lenstra Stadion,sc Heerenveen,Fortuna Sittard,2 - 1
273,31,25/04/2026 19:00,Rat Verlegh Stadion,NAC Breda,Ajax,0 - 2
274,31,25/04/2026 20:00,De Grolsch Veste,FC Twente,N.E.C. Nijmegen,1 - 1
278,31,26/04/2026 11:15,Van Donge & De Roo Stadion,Excelsior Rotterdam,FC Utrecht,5 - 0
275,31,26/04/2026 13:30,Asito Stadion,Heracles Almelo,FC Volendam,0 - 2
284,32,02/05/2026 15:30,Stadion Galgenwaard,FC Utrecht,NAC Breda,2 - 0
282,32,02/05/2026 17:45,Euroborg,FC Groningen,Excelsior Rotterdam,2 - 3
281,32,02/05/2026 19:00,Johan Cruyff Arena,Ajax,PSV,2 - 2
285,32,02/05/2026 20:00,Goffertstadion,N.E.C. Nijmegen,Telstar,1 - 1
288,32,03/05/2026 11:15,Kras Stadion,FC Volendam,sc Heerenveen,0 - 2
280,32,03/05/2026 13:30,Fortuna Sittard Stadion,Fortuna Sittard,Feyenoord,1 - 2
286,32,03/05/2026 13:30,MAC³PARK Stadion,PEC Zwolle,Heracles Almelo,1 - 0
283,32,03/05/2026 15:45,Sparta Stadion Het Kasteel,Sparta Rotterdam,Go Ahead Eagles,2 - 2
287,32,03/05/2026 15:45,AFAS Stadion,AZ,FC Twente,2 - 2
289,33,10/05/2026 15:45,Euroborg,FC Groningen,N.E.C. Nijmegen,2 - 1
290,33,10/05/2026 15:45,Fortuna Sittard Stadion,Fortuna Sittard,PEC Zwolle,3 - 2
291,33,10/05/2026 15:45,De Adelaarshorst,Go Ahead Eagles,PSV,1 - 4
292,33,10/05/2026 15:45,Johan Cruyff Arena,Ajax,FC Utrecht,1 - 2
293,33,10/05/2026 15:45,De Grolsch Veste,FC Twente,Sparta Rotterdam,4 - 0
295,33,10/05/2026 15:45,Sportpark Schoonenberg,Telstar,Heracles Almelo,3 - 0
296,33,10/05/2026 15:45,De Kuip,Feyenoord,AZ,1 - 1
297,33,10/05/2026 15:45,Van Donge & De Roo Stadion,Excelsior Rotterdam,FC Volendam,1 - 1
294,33,11/05/2026 13:30,Rat Verlegh Stadion,NAC Breda,sc Heerenveen,
298,34,17/05/2026 13:30,Asito Stadion,Heracles Almelo,FC Groningen,1 - 2
299,34,17/05/2026 13:30,Sparta Stadion Het Kasteel,Sparta Rotterdam,Excelsior Rotterdam,2 - 3
300,34,17/05/2026 13:30,Goffertstadion,N.E.C. Nijmegen,Go Ahead Eagles,2 - 1
301,34,17/05/2026 13:30,Kras Stadion,FC Volendam,Telstar,1 - 2
302,34,17/05/2026 13:30,MAC³PARK Stadion,PEC Zwolle,Feyenoord,0 - 2
303,34,17/05/2026 13:30,Stadion Galgenwaard,FC Utrecht,Fortuna Sittard,2 - 0
304,34,17/05/2026 13:30,Abe Lenstra Stadion,sc Heerenveen,Ajax,0 - 0
305,34,17/05/2026 13:30,Philips Stadion,PSV,FC Twente,5 - 1
306,34,17/05/2026 13:30,AFAS Stadion,AZ,NAC Breda,3 - 3
