Match Number,Round Number,Date,Location,Home Team,Away Team,Result
94,11,02/11/2025 15:45,Stadion Galgenwaard,FC Utrecht,N.E.C. Nijmegen,1 - 0
103,12,07/11/2025 19:00,De Grolsch Veste,FC Twente,Telstar,0 - 0
104,12,08/11/2025 15:30,Van Donge & De Roo Stadion,Excelsior Rotterdam,Heracles Almelo,1 - 2
108,12,08/11/2025 17:45,Kras Stadion,FC Volendam,NAC Breda,2 - 1
102,12,08/11/2025 19:00,Fortuna Sittard Stadion,Fortuna Sittard,sc Heerenveen,2 - 0
100,12,08/11/2025 20:00,MAC³PARK Stadion,PEC Zwolle,Sparta Rotterdam,1 - 0
106,12,09/11/2025 11:15,Stadion Galgenwaard,FC Utrecht,Ajax,2 - 1
107,12,09/11/2025 13:30,Goffertstadion,N.E.C. Nijmegen,FC Groningen,2 - 0
105,12,09/11/2025 15:45,AFAS Stadion,AZ,PSV,1 - 5
101,12,09/11/2025 19:00,De Adelaarshorst,Go Ahead Eagles,Feyenoord,2 - 1
117,13,22/11/2025 15:30,Rat Verlegh Stadion,NAC Breda,PSV,0 - 1
114,13,22/11/2025 17:45,Johan Cruyff Arena,Ajax,Excelsior Rotterdam,1 - 2
116,13,22/11/2025 17:45,Kras Stadion,FC Volendam,FC Twente,1 - 1
112,13,22/11/2025 20:00,Asito Stadion,Heracles Almelo,Go Ahead Eagles,4 - 2
113,13,22/11/2025 20:00,Sparta Stadion Het Kasteel,Sparta Rotterdam,Fortuna Sittard,1 - 1
