Match Number,Round Number,Date,Location,Home Team,Away Team,Result
163,19,26/01/2026 17:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Besiktas,2 - 2
175,20,30/01/2026 17:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Samsunspor,0 - 1
174,20,30/01/2026 17:02,Antalya Stadium,Antalyaspor,Trabzonspor,1 - 1
172,20,31/01/2026 11:33,Alanya Oba Stadium,Alanyaspor,Eyüpspor,1 - 3
179,20,31/01/2026 14:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Çaykur Rizespor,2 - 2
173,20,31/01/2026 17:00,Besiktas Stadyumu,Besiktas,Konyaspor,2 - 1
176,20,31/01/2026 17:00,Gürsel Aksel Stadium,Göztepe,Fatih Karagümrük,2 - 1
177,20,01/02/2026 14:00,Eryaman Stadium,Gençlerbirligi,Gaziantep,2 - 1
180,20,01/02/2026 17:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Kayserispor,4 - 0
178,20,02/02/2026 17:00,Kocaeli Stadium,Kocaelispor,Fenerbahçe,0 - 2
183,21,07/02/2026 11:30,Atatürk Olympic Stadium,Fatih Karagümrük,Antalyaspor,1 - 0
184,21,07/02/2026 17:00,Samsun 19 Mayis Stadium,Samsunspor,Trabzonspor,0 - 3
181,21,08/02/2026 11:30,Recep Tayyip Erdogan Stadium,Eyüpspor,Istanbul Basaksehir,1 - 2
186,21,08/02/2026 14:00,Konya Metropolitan Municipality Stadium,Konyaspor,Göztepe,0 - 0
187,21,08/02/2026 14:00,Rize City Stadium,Çaykur Rizespor,Galatasaray,0 - 3
185,21,08/02/2026 17:00,Besiktas Stadyumu,Besiktas,Alanyaspor,2 - 2
189,21,09/02/2026 14:00,RHG Enertürk Enerji Stadium,Kayserispor,Kocaelispor,1 - 2
182,21,09/02/2026 17:00,Gaziantep Stadium,Gaziantep,Kasimpasa,2 - 1
188,21,09/02/2026 17:00,Ülker Stadium,Fenerbahçe,Gençlerbirligi,3 - 1
190,22,13/02/2026 17:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Eyüpspor,5 - 1
193,22,13/02/2026 17:00,Antalya Stadium,Antalyaspor,Samsunspor,3 - 1
197,22,14/02/2026 11:30,Eryaman Stadium,Gençlerbirligi,Çaykur Rizespor,2 - 2
191,22,14/02/2026 14:00,Alanya Oba Stadium,Alanyaspor,Konyaspor,2 - 1
196,22,14/02/2026 17:00,Papara Park,Trabzonspor,Fenerbahçe,2 - 3
195,22,15/02/2026 11:30,Kocaeli Stadium,Kocaelispor,Gaziantep,3 - 0
198,22,15/02/2026 14:00,Gürsel Aksel Stadium,Göztepe,Kayserispor,0 - 0
192,22,15/02/2026 17:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Besiktas,2 - 3
194,22,16/02/2026 17:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Fatih Karagümrük,3 - 2
207,23,20/02/2026 17:00,Rize City Stadium,Çaykur Rizespor,Kocaelispor,2 - 0
199,23,21/02/2026 10:30,Recep Tayyip Erdogan Stadium,Eyüpspor,Gençlerbirligi,1 - 0
204,23,21/02/2026 13:00,Alanya Oba Stadium,Alanyaspor,Istanbul Basaksehir,1 - 2
206,23,21/02/2026 17:00,Konya Metropolitan Municipality Stadium,Konyaspor,Galatasaray,2 - 0
201,23,22/02/2026 10:30,RHG Enertürk Enerji Stadium,Kayserispor,Antalyaspor,1 - 0
202,23,22/02/2026 13:00,Gaziantep Stadium,Gaziantep,Trabzonspor,1 - 2
203,23,22/02/2026 17:00,Atatürk Olympic Stadium,Fatih Karagümrük,Samsunspor,0 - 0
205,23,22/02/2026 17:00,Besiktas Stadyumu,Besiktas,Göztepe,4 - 0
200,23,23/02/2026 17:00,Ülker Stadium,Fenerbahçe,Kasimpasa,1 - 1
209,24,27/02/2026 17:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Konyaspor,2 - 0
212,24,27/02/2026 17:00,Papara Park,Trabzonspor,Fatih Karagümrük,3 - 1
215,24,28/02/2026 10:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Çaykur Rizespor,0 - 3
210,24,28/02/2026 13:00,Kocaeli Stadium,Kocaelispor,Besiktas,0 - 1
208,24,28/02/2026 17:00,Gürsel Aksel Stadium,Göztepe,Eyüpspor,0 - 0
211,24,28/02/2026 17:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Alanyaspor,3 - 1
216,24,01/03/2026 13:00,Eryaman Stadium,Gençlerbirligi,Kayserispor,0 - 0
