Match Number,Round Number,Date,Location,Home Team,Away Team,Result
80,9,18/10/2025 15:00,Rize City Stadium,Çaykur Rizespor,Trabzonspor,1 - 2
77,9,18/10/2025 18:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Galatasaray,1 - 2
81,9,19/10/2025 12:30,RHG Enertürk Enerji Stadium,Kayserispor,Samsunspor,1 - 3
76,9,19/10/2025 15:00,Alanya Oba Stadium,Alanyaspor,Göztepe,1 - 0
78,9,19/10/2025 15:00,Gaziantep Stadium,Gaziantep,Antalyaspor,3 - 2
79,9,19/10/2025 18:00,Ülker Stadium,Fenerbahçe,Fatih Karagümrük,2 - 1
73,9,20/10/2025 18:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Kasimpasa,2 - 0
86,10,24/10/2025 18:00,Atatürk Olympic Stadium,Fatih Karagümrük,Kayserispor,2 - 2
90,10,25/10/2025 15:00,Kocaeli Stadium,Kocaelispor,Alanyaspor,2 - 0
84,10,25/10/2025 18:00,Papara Park,Trabzonspor,Eyüpspor,2 - 0
83,10,26/10/2025 11:30,Antalya Stadium,Antalyaspor,Istanbul Basaksehir,0 - 4
88,10,26/10/2025 14:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Göztepe,3 - 1
89,10,26/10/2025 14:00,Eryaman Stadium,Gençlerbirligi,Konyaspor,1 - 2
82,10,26/10/2025 17:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Besiktas,1 - 1
85,10,27/10/2025 17:00,Samsun 19 Mayis Stadium,Samsunspor,Çaykur Rizespor,1 - 1
87,10,27/10/2025 17:00,Gaziantep Stadium,Gaziantep,Fenerbahçe,0 - 4
95,11,31/10/2025 17:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Kocaelispor,1 - 0
96,11,01/11/2025 14:00,Gürsel Aksel Stadium,Göztepe,Gençlerbirligi,1 - 0
97,11,01/11/2025 17:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Trabzonspor,0 - 0
92,11,02/11/2025 11:30,Konya Metropolitan Municipality Stadium,Konyaspor,Samsunspor,1 - 3
99,11,02/11/2025 14:00,RHG Enertürk Enerji Stadium,Kayserispor,Kasimpasa,3 - 2
93,11,02/11/2025 17:00,Besiktas Stadyumu,Besiktas,Fenerbahçe,2 - 3
91,11,03/11/2025 17:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Antalyaspor,0 - 1
94,11,03/11/2025 17:00,Alanya Oba Stadium,Alanyaspor,Gaziantep,0 - 0
98,11,03/11/2025 17:00,Rize City Stadium,Çaykur Rizespor,Fatih Karagümrük,1 - 0
107,12,07/11/2025 17:00,Eryaman Stadium,Gençlerbirligi,Istanbul Basaksehir,2 - 1
105,12,08/11/2025 11:30,Gaziantep Stadium,Gaziantep,Çaykur Rizespor,2 - 2
102,12,08/11/2025 14:00,Papara Park,Trabzonspor,Alanyaspor,1 - 1
100,12,08/11/2025 17:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Göztepe,0 - 2
101,12,08/11/2025 17:00,Antalya Stadium,Antalyaspor,Besiktas,1 - 3
104,12,09/11/2025 11:30,Atatürk Olympic Stadium,Fatih Karagümrük,Konyaspor,2 - 0
108,12,09/11/2025 14:00,Kocaeli Stadium,Kocaelispor,Galatasaray,1 - 0
103,12,09/11/2025 17:00,Samsun 19 Mayis Stadium,Samsunspor,Eyüpspor,1 - 0
106,12,09/11/2025 17:00,Ülker Stadium,Fenerbahçe,Kayserispor,4 - 2
